"gene"
"CSF3"
"CXCL5"
"CCL20"
"SAA2"
"IFI6"
"CXCL3"
"TNFSF14"
"ICAM1"
"TNF"
"ZC3H12A"
"LTB"
"TNFAIP3"
"IRF7"
"C3"
"CXCL1"
"CXCL2"
"IRF9"
"MAFF"
"IL1A"
"MAP3K8"
"SOCS3"
